Antecedent;Consequent
 Port. Butter Honig ec|  Salat Schale ; Kornsemmel 0,40|  O-Saft frisch|  Tagessuppe a 0,30| 
 Port. Butter Honig ec|  Tagessuppe a 0,30 ; Kornsemmel 0,40|  O-Saft frisch|  Salat Schale| 
 Kornsemmel 0,40|  Port. Butter Honig ec|  Salat Schale ; O-Saft frisch|  Tagessuppe a 0,30| 
 Kornsemmel 0,40|  Port. Butter Honig ec|  Tagessuppe a 0,30 ; O-Saft frisch|  Salat Schale| 
 Kornsemmel 0,40|  Salat Schale|  Tagessuppe a 0,30 ; O-Saft frisch   
 Port. Butter Honig ec|  Salat Schale|  Tagessuppe a 0,30 ; Kornsemmel 0,40|  O-Saft frisch| 
 O-Saft frisch|  Port. Butter Honig ec ; Kornsemmel 0,40|  Salat Schale|  Tagessuppe a 0,30| 
 O-Saft frisch|  Port. Butter Honig ec|  Salat Schale ; Kornsemmel 0,40|  Tagessuppe a 0,30| 
 O-Saft frisch|  Port. Butter Honig ec|  Tagessuppe a 0,30 ; Kornsemmel 0,40|  Salat Schale| 
 O-Saft frisch|  Salat Schale|  Tagessuppe a 0,30 ; Kornsemmel 0,40   
 Kornsemmel 0,40|  O-Saft frisch|  Port. Butter Honig ec ; Salat Schale|  Tagessuppe a 0,30| 
 Kornsemmel 0,40|  O-Saft frisch|  Tagessuppe a 0,30 ; Salat Schale   
 Kornsemmel 0,40|  O-Saft frisch|  Salat Schale ; Tagessuppe a 0,30   
 Kornsemmel 0,40|  O-Saft frisch|  Port. Butter Honig ec|  Salat Schale ; Tagessuppe a 0,30   
 Kornsemmel 0,40|  O-Saft frisch|  Port. Butter Honig ec|  Tagessuppe a 0,30 ; Salat Schale   
 Kornsemmel 0,40|  O-Saft frisch|  Salat Schale|  Tagessuppe a 0,30 ; Port. Butter Honig ec   
 Kornsemmel 0,40|  Port. Butter Honig ec|  Salat Schale|  Tagessuppe a 0,30 ; O-Saft frisch   
 O-Saft frisch|  Port. Butter Honig ec|  Salat Schale|  Tagessuppe a 0,30 ; Kornsemmel 0,40   
 Obstbecher 0,90|  SalatTeller ; Tagessuppe a 0,30   
 Klassik Semmel 0,30|  Obstbecher 0,90 ; Dessert a 1,60|  Salat Schale|  Suppe 1,00|  Tagessuppe a 0,30| 
 Klassik Semmel 0,30|  Salat Schale ; Dessert a 1,60|  Suppe 1,00|  Tagessuppe a 0,30| 
 Obstbecher 0,90|  Salat Schale ; Dessert a 1,60|  Klassik Semmel 0,30|  Suppe 1,00|  Tagessuppe a 0,30| 
 Klassik Semmel 0,30|  Obstbecher 0,90|  Salat Schale ; Dessert a 1,60|  Suppe 1,00|  Tagessuppe a 0,30| 
 Klassik Semmel 0,30|  Obstbecher 0,90|  Tagessuppe a 0,30 ; Dessert a 1,60|  Salat Schale|  Suppe 1,00| 
 Klassik Semmel 0,30|  Salat Schale|  Tagessuppe a 0,30 ; Dessert a 1,60|  Suppe 1,00| 
 Obstbecher 0,90|  Salat Schale|  Tagessuppe a 0,30 ; Dessert a 1,60|  Klassik Semmel 0,30|  Suppe 1,00| 
 Obstbecher 0,90|  Suppe 1,00 ; Dessert a 1,60|  Klassik Semmel 0,30|  Salat Schale|  Tagessuppe a 0,30| 
 Klassik Semmel 0,30|  Obstbecher 0,90|  Suppe 1,00 ; Dessert a 1,60|  Salat Schale|  Tagessuppe a 0,30| 
 Klassik Semmel 0,30|  Salat Schale|  Suppe 1,00 ; Dessert a 1,60|  Tagessuppe a 0,30| 
 Obstbecher 0,90|  Salat Schale|  Suppe 1,00 ; Dessert a 1,60|  Klassik Semmel 0,30|  Tagessuppe a 0,30| 
 Obstbecher 0,90|  Suppe 1,00|  Tagessuppe a 0,30 ; Dessert a 1,60|  Klassik Semmel 0,30|  Salat Schale| 
 Salat Schale|  Suppe 1,00|  Tagessuppe a 0,30 ; Dessert a 1,60   
 Klassik Semmel 0,30|  Suppe 1,00|  Tagessuppe a 0,30 ; Dessert a 1,60   
 Klassik Semmel 0,30|  Obstbecher 0,90|  Salat Schale|  Suppe 1,00 ; Dessert a 1,60|  Tagessuppe a 0,30| 
 Klassik Semmel 0,30|  Obstbecher 0,90|  Salat Schale|  Tagessuppe a 0,30 ; Dessert a 1,60|  Suppe 1,00| 
 Klassik Semmel 0,30|  Obstbecher 0,90|  Suppe 1,00|  Tagessuppe a 0,30 ; Dessert a 1,60|  Salat Schale| 
 Klassik Semmel 0,30|  Salat Schale|  Suppe 1,00|  Tagessuppe a 0,30 ; Dessert a 1,60   
 Obstbecher 0,90|  Salat Schale|  Suppe 1,00|  Tagessuppe a 0,30 ; Dessert a 1,60|  Klassik Semmel 0,30| 
 Dessert a 1,60|  Obstbecher 0,90 ; Klassik Semmel 0,30|  Salat Schale|  Suppe 1,00|  Tagessuppe a 0,30| 
 Dessert a 1,60|  Obstbecher 0,90|  Salat Schale ; Klassik Semmel 0,30|  Suppe 1,00|  Tagessuppe a 0,30| 
 Dessert a 1,60|  Obstbecher 0,90|  Suppe 1,00 ; Klassik Semmel 0,30|  Salat Schale|  Tagessuppe a 0,30| 
 Dessert a 1,60|  Salat Schale|  Suppe 1,00 ; Tagessuppe a 0,30   
 Dessert a 1,60|  Klassik Semmel 0,30|  Obstbecher 0,90 ; Salat Schale|  Suppe 1,00|  Tagessuppe a 0,30| 
 Dessert a 1,60|  Obstbecher 0,90|  Tagessuppe a 0,30 ; Klassik Semmel 0,30|  Salat Schale|  Suppe 1,00| 
 Dessert a 1,60|  Klassik Semmel 0,30|  Salat Schale ; Suppe 1,00|  Tagessuppe a 0,30| 
 Dessert a 1,60|  Salat Schale|  Tagessuppe a 0,30 ; Suppe 1,00   
 Dessert a 1,60|  Klassik Semmel 0,30|  Tagessuppe a 0,30 ; Suppe 1,00   
 Dessert a 1,60|  Klassik Semmel 0,30|  Obstbecher 0,90|  Salat Schale ; Suppe 1,00|  Tagessuppe a 0,30| 
 Dessert a 1,60|  Klassik Semmel 0,30|  Obstbecher 0,90|  Suppe 1,00 ; Salat Schale|  Tagessuppe a 0,30| 
 Dessert a 1,60|  Klassik Semmel 0,30|  Salat Schale|  Suppe 1,00 ; Tagessuppe a 0,30   
 Dessert a 1,60|  Obstbecher 0,90|  Salat Schale|  Suppe 1,00 ; Klassik Semmel 0,30|  Tagessuppe a 0,30| 
 Dessert a 1,60|  Obstbecher 0,90|  Salat Schale|  Tagessuppe a 0,30 ; Klassik Semmel 0,30|  Suppe 1,00| 
 Dessert a 1,60|  Obstbecher 0,90|  Suppe 1,00|  Tagessuppe a 0,30 ; Klassik Semmel 0,30|  Salat Schale| 
 Dessert a 1,60|  Salat Schale|  Suppe 1,00|  Tagessuppe a 0,30 ; Klassik Semmel 0,30   
 Dessert a 1,60|  Klassik Semmel 0,30|  Obstbecher 0,90|  Tagessuppe a 0,30 ; Salat Schale|  Suppe 1,00| 
 Dessert a 1,60|  Klassik Semmel 0,30|  Suppe 1,00|  Tagessuppe a 0,30 ; Salat Schale   
 Dessert a 1,60|  Klassik Semmel 0,30|  Salat Schale|  Tagessuppe a 0,30 ; Suppe 1,00   
 Dessert a 1,60|  Klassik Semmel 0,30|  Obstbecher 0,90|  Salat Schale|  Suppe 1,00 ; Tagessuppe a 0,30   
 Dessert a 1,60|  Klassik Semmel 0,30|  Obstbecher 0,90|  Salat Schale|  Tagessuppe a 0,30 ; Suppe 1,00   
 Dessert a 1,60|  Klassik Semmel 0,30|  Obstbecher 0,90|  Suppe 1,00|  Tagessuppe a 0,30 ; Salat Schale   
 Dessert a 1,60|  Klassik Semmel 0,30|  Salat Schale|  Suppe 1,00|  Tagessuppe a 0,30 ; Obstbecher 0,90   
 Dessert a 1,60|  Obstbecher 0,90|  Salat Schale|  Suppe 1,00|  Tagessuppe a 0,30 ; Klassik Semmel 0,30   
 Klassik Semmel 0,30|  Obstbecher 0,90|  Salat Schale|  Suppe 1,00|  Tagessuppe a 0,30 ; Dessert a 1,60   
 Kuchenhappen 1,40|  Obstbecher 0,90 ; Beilage a 0,45   
 Dessert a 0,80|  Molkereiprodukte 0,65 ; Suppe 1,00   
 Molkereiprodukte 0,65|  Suppe 1,00 ; Dessert a 0,80   
 BeiwerkSchale|  Kuchenhappen 1,40 ; Salat Port.  0,60   
 BeiwerkSchale|  Salat Port.  0,60 ; Kuchenhappen 1,40   
 BIO Molkerei 0,80|  Breze 0,65 ; Dessert a 1,60   
 BIO Molkerei 0,80|  Dessert a 1,60 ; Breze 0,65   
 Kuchenhappen 1,40|  SalatTeller ; Salat Port.  0,60   
" Kuchenhappen 1,40|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen  "; Tagessuppe a 0,30   
 Kuchenhappen 1,40|  Tagessuppe a 0,30 ;" Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen    "
 Breze 0,65|  Obst 0,40 ; SalatTeller   
 Obst 0,40|  SalatTeller ; Breze 0,65   
 Fruchtsaft frisch|  Proz. Rabatt/Aufschl. ;" Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen |  Tagessuppe a 0,30| "
" Fruchtsaft frisch|  Proz. Rabatt/Aufschl.|  Risotto ""Brunoise"" mit Bulgur und Putenbruststreifen  "; Tagessuppe a 0,30   
