Antecedent;Consequent
 Backwaren Kuchen 1,30 | Gericht frei | Port. Butter Honig ec | Semmeln | WeiÃŸwurst Telle; Breze 0,65    
 Breze 0,65 | Gericht frei | Port. Butter Honig ec | Semmeln | WeiÃŸwurst Telle; Backwaren Kuchen 1,30    
 WeiÃŸwurst Teller | Wiener Telle; Breze 0,65 | O-Saft frisch | Port. Butter Honig ec | Semmeln |
 Port. Butter Honig ec | Semmeln | Wiener Teller ; Breze 0,65 | O-Saft frisch |
 Port. Butter Honig ec | WeiÃŸwurst Teller | Wiener Telle; Breze 0,65 | O-Saft frisch | Semmeln |
 Semmeln | WeiÃŸwurst Teller | Wiener Telle; Breze 0,65 | O-Saft frisch | Port. Butter Honig ec |
 Breze 0,65 | Semmeln | Wiener Teller ; O-Saft frisch | Port. Butter Honig ec |
 Breze 0,65 | WeiÃŸwurst Teller | Wiener Telle; O-Saft frisch | Port. Butter Honig ec | Semmeln |
 Breze 0,65 | Port. Butter Honig ec | Semmeln | Wiener Teller ; O-Saft frisch    
 Breze 0,65 | Port. Butter Honig ec | WeiÃŸwurst Teller | Wiener Telle; O-Saft frisch | Semmeln |
 Breze 0,65 | Semmeln | WeiÃŸwurst Teller | Wiener Telle; O-Saft frisch | Port. Butter Honig ec |
 Port. Butter Honig ec | Semmeln | WeiÃŸwurst Teller | Wiener Telle; Breze 0,65 | O-Saft frisch |
 O-Saft frisch | WeiÃŸwurst Telle; Breze 0,65 | Port. Butter Honig ec | Semmeln | Wiener Teller |
 O-Saft frisch | Semmeln | WeiÃŸwurst Telle; Breze 0,65 | Port. Butter Honig ec | Wiener Teller |
 O-Saft frisch | Semmeln | Wiener Teller ; Breze 0,65 | Port. Butter Honig ec |
 O-Saft frisch | WeiÃŸwurst Teller | Wiener Telle; Breze 0,65 | Port. Butter Honig ec | Semmeln |
 O-Saft frisch | Port. Butter Honig ec | WeiÃŸwurst Telle; Breze 0,65 | Semmeln | Wiener Teller |
 Breze 0,65 | O-Saft frisch | WeiÃŸwurst Telle; Port. Butter Honig ec | Semmeln | Wiener Teller |
 O-Saft frisch | Port. Butter Honig ec | Semmeln | WeiÃŸwurst Telle; Breze 0,65 | Wiener Teller |
 O-Saft frisch | Port. Butter Honig ec | Semmeln | Wiener Teller ; Breze 0,65    
 O-Saft frisch | Port. Butter Honig ec | WeiÃŸwurst Teller | Wiener Telle; Breze 0,65 | Semmeln |
 O-Saft frisch | Semmeln | WeiÃŸwurst Teller | Wiener Telle; Breze 0,65 | Port. Butter Honig ec |
