Antecedent;Consequent
 Breze 0,65|  Molkereiprodukte 0,65 ; Marmelade 0,35|  O-Saft frisch|  Port. Butter Honig ec| 
 Breze 0,65|  Marmelade 0,35|  Molkereiprodukte 0,65 ; O-Saft frisch|  Port. Butter Honig ec| 
 Breze 0,65|  Marmelade 0,35|  Port. Butter Honig ec ; O-Saft frisch   
 Breze 0,65|  Molkereiprodukte 0,65|  Port. Butter Honig ec ; Marmelade 0,35|  O-Saft frisch| 
 Marmelade 0,35|  Molkereiprodukte 0,65|  Port. Butter Honig ec ; Breze 0,65|  O-Saft frisch| 
 Molkereiprodukte 0,65|  O-Saft frisch ; Breze 0,65|  Marmelade 0,35|  Port. Butter Honig ec| 
 Breze 0,65|  Marmelade 0,35|  O-Saft frisch ; Port. Butter Honig ec   
 Breze 0,65|  Molkereiprodukte 0,65|  O-Saft frisch ; Marmelade 0,35|  Port. Butter Honig ec| 
 Marmelade 0,35|  Molkereiprodukte 0,65|  O-Saft frisch ; Breze 0,65|  Port. Butter Honig ec| 
 Molkereiprodukte 0,65|  O-Saft frisch|  Port. Butter Honig ec ; Breze 0,65|  Marmelade 0,35| 
 Breze 0,65|  Marmelade 0,35|  Molkereiprodukte 0,65|  O-Saft frisch ; Port. Butter Honig ec   
 Breze 0,65|  Marmelade 0,35|  Molkereiprodukte 0,65|  Port. Butter Honig ec ; O-Saft frisch   
 Breze 0,65|  Marmelade 0,35|  O-Saft frisch|  Port. Butter Honig ec ; Molkereiprodukte 0,65   
 Breze 0,65|  Molkereiprodukte 0,65|  O-Saft frisch|  Port. Butter Honig ec ; Marmelade 0,35   
 Marmelade 0,35|  Molkereiprodukte 0,65|  O-Saft frisch|  Port. Butter Honig ec ; Breze 0,65   
 Leberkäse Semmel|  Molkereiprodukte 0,65 ; Semmeln   
 Molkereiprodukte 0,65|  Semmeln ; Leberkäse Semmel   
 Käse-Mohn Breze|  Molkereiprodukte 0,65 ; Port. Butter Honig ec   
 belegte Backw. 1,70|  belegte Backw. 2,30 ; Obstbecher 0,90   
 BIO Molkerei 0,80|  Müsli to go ; Kornsemmel 0,40|  O-Saft frisch|  Port. Butter Honig ec| 
 Kornsemmel 0,40|  Müsli to go ; O-Saft frisch|  Port. Butter Honig ec| 
 BIO Molkerei 0,80|  Kornsemmel 0,40|  Müsli to go ; O-Saft frisch|  Port. Butter Honig ec| 
 BIO Molkerei 0,80|  Kornsemmel 0,40|  O-Saft frisch ; Müsli to go|  Port. Butter Honig ec| 
 BIO Molkerei 0,80|  Müsli to go|  O-Saft frisch ; Kornsemmel 0,40|  Port. Butter Honig ec| 
 Kornsemmel 0,40|  Müsli to go|  O-Saft frisch ; Port. Butter Honig ec   
 BIO Molkerei 0,80|  Port. Butter Honig ec ; Kornsemmel 0,40|  Müsli to go|  O-Saft frisch| 
 BIO Molkerei 0,80|  Müsli to go|  Port. Butter Honig ec ; Kornsemmel 0,40|  O-Saft frisch| 
 BIO Molkerei 0,80|  O-Saft frisch|  Port. Butter Honig ec ; Kornsemmel 0,40|  Müsli to go| 
 Müsli to go|  O-Saft frisch|  Port. Butter Honig ec ; Kornsemmel 0,40   
 BIO Molkerei 0,80|  Kornsemmel 0,40|  Port. Butter Honig ec ; Müsli to go|  O-Saft frisch| 
 Kornsemmel 0,40|  Müsli to go|  Port. Butter Honig ec ; O-Saft frisch   
 BIO Molkerei 0,80|  Kornsemmel 0,40|  Müsli to go|  O-Saft frisch ; Port. Butter Honig ec   
 BIO Molkerei 0,80|  Kornsemmel 0,40|  Müsli to go|  Port. Butter Honig ec ; O-Saft frisch   
 BIO Molkerei 0,80|  Kornsemmel 0,40|  O-Saft frisch|  Port. Butter Honig ec ; Müsli to go   
 BIO Molkerei 0,80|  Müsli to go|  O-Saft frisch|  Port. Butter Honig ec ; Kornsemmel 0,40   
 Kornsemmel 0,40|  Müsli to go|  O-Saft frisch|  Port. Butter Honig ec ; BIO Molkerei 0,80   
 BIO Back 0,45|  BIO Molkerei 0,80 ; belegte Backw. 1,70   
 BIO Molkerei 0,80|  Obstbecher 0,90 ; belegte Backw. 2,30   
 BIO Molkerei 0,80|  Leberkäse Semmel ; Semmeln   
 BIO Molkerei 0,80|  Semmeln ; Leberkäse Semmel   
 O-Saft frisch|  Wiener ; Semmeln|  belegte Backw. 1,40| 
 O-Saft frisch|  belegte Backw. 1,40 ; Semmeln   
 O-Saft frisch|  Semmeln|  Wiener ; belegte Backw. 1,40   
 O-Saft frisch|  Semmeln|  belegte Backw. 1,40 ; Wiener   
 O-Saft frisch|  Wiener|  belegte Backw. 1,40 ; Semmeln   
 Leberkäse Semmel|  Wiener ; Breze 0,65|  Semmeln| 
 Breze 0,65|  Leberkäse Semmel|  Wiener ; Semmeln   
 Breze 0,65|  Semmeln|  Wiener ; Leberkäse Semmel   
 Leberkäse Semmel|  Semmeln|  Wiener ; Breze 0,65   
 Obst 0,40|  Wiener ; Breze 0,65|  Port. Butter Honig ec| 
 Port. Butter Honig ec|  Wiener ; Breze 0,65|  Obst 0,40| 
 Breze 0,65|  Obst 0,40|  Port. Butter Honig ec ; Wiener   
 Breze 0,65|  Obst 0,40|  Wiener ; Port. Butter Honig ec   
 Breze 0,65|  Port. Butter Honig ec|  Wiener ; Obst 0,40   
 Obst 0,40|  Port. Butter Honig ec|  Wiener ; Breze 0,65   
 Semmeln|  belegte Backw. 1,70 ; Wiener   
 BIO Back 0,45|  Marmelade 0,35 ; Obst 0,40|  Port. Butter Honig ec| 
 BIO Back 0,45|  Obst 0,40 ; Marmelade 0,35|  Port. Butter Honig ec| 
 BIO Back 0,45|  Marmelade 0,35|  Obst 0,40 ; Port. Butter Honig ec   
 BIO Back 0,45|  Marmelade 0,35|  Port. Butter Honig ec ; Obst 0,40   
 BIO Back 0,45|  Obst 0,40|  Port. Butter Honig ec ; Marmelade 0,35   
 BIO Back 0,45|  Kornsemmel 0,40 ; O-Saft frisch|  Port. Butter Honig ec| 
 BIO Back 0,45|  O-Saft frisch ; Kornsemmel 0,40|  Port. Butter Honig ec| 
 BIO Back 0,45|  Kornsemmel 0,40|  O-Saft frisch ; Port. Butter Honig ec   
 BIO Back 0,45|  Kornsemmel 0,40|  Port. Butter Honig ec ; O-Saft frisch   
 BIO Back 0,45|  O-Saft frisch|  Port. Butter Honig ec ; Kornsemmel 0,40   
 BIO Back 0,45|  Backwaren Kuchen 1,30 ; Käse-Mohn Breze   
 BIO Back 0,45|  Leberkäse Semmel ; Käse-Mohn Breze|  Semmeln| 
 BIO Back 0,45|  Semmeln ; Käse-Mohn Breze|  Leberkäse Semmel| 
 BIO Back 0,45|  Käse-Mohn Breze|  Leberkäse Semmel ; Semmeln   
 BIO Back 0,45|  Käse-Mohn Breze|  Semmeln ; Leberkäse Semmel   
 BIO Back 0,45|  Leberkäse Semmel|  Semmeln ; Käse-Mohn Breze   
 Marmelade 0,35|  belegte Backw. 1,40 ; Port. Butter Honig ec|  Semmeln| 
 Marmelade 0,35|  Port. Butter Honig ec|  belegte Backw. 1,40 ; Semmeln   
 Marmelade 0,35|  Semmeln|  belegte Backw. 1,40 ; Port. Butter Honig ec   
 Port. Butter Honig ec|  Semmeln|  belegte Backw. 1,40 ; Marmelade 0,35   
 Backwaren Kuchen 1,30|  Marmelade 0,35 ; O-Saft frisch|  Port. Butter Honig ec| 
 Backwaren Kuchen 1,30|  Port. Butter Honig ec ; O-Saft frisch   
 Backwaren Kuchen 1,30|  Marmelade 0,35|  O-Saft frisch ; Port. Butter Honig ec   
 Backwaren Kuchen 1,30|  Marmelade 0,35|  Port. Butter Honig ec ; O-Saft frisch   
 Backwaren Kuchen 1,30|  O-Saft frisch|  Port. Butter Honig ec ; Marmelade 0,35   
 Käse-Mohn Breze|  Marmelade 0,35 ; Port. Butter Honig ec|  Semmeln| 
 Käse-Mohn Breze|  Marmelade 0,35|  Port. Butter Honig ec ; Semmeln   
 Käse-Mohn Breze|  Marmelade 0,35|  Semmeln ; Port. Butter Honig ec   
 Käse-Mohn Breze|  Port. Butter Honig ec|  Semmeln ; Marmelade 0,35   
 Marmelade 0,35|  O-Saft frisch|  Obstbecher 0,90 ; Port. Butter Honig ec   
 Marmelade 0,35|  Obstbecher 0,90|  Port. Butter Honig ec ; O-Saft frisch   
 Kornsemmel 0,40|  Marmelade 0,35|  Obst 0,40 ; Port. Butter Honig ec   
 Marmelade 0,35|  O-Saft frisch ; Port. Butter Honig ec   
 Port. Butter Honig ec|  Semmeln ; Marmelade 0,35   
 Klassik Semmel 0,30|  Käse-Mohn Breze ; Backwaren Kuchen 1,30   
 Käse-Mohn Breze|  Leberkäse Semmel ; Semmeln   
 Leberkäse Semmel|  Obst 0,40 ; Semmeln   
 Klassik Semmel 0,30|  Obst 0,40 ; O-Saft frisch|  Port. Butter Honig ec| 
 Klassik Semmel 0,30|  O-Saft frisch|  Obst 0,40 ; Port. Butter Honig ec   
 Klassik Semmel 0,30|  Obst 0,40|  Port. Butter Honig ec ; O-Saft frisch   
 O-Saft frisch|  Obst 0,40|  Port. Butter Honig ec ; Klassik Semmel 0,30   
 Kornsemmel 0,40|  Obst 0,40|  Obstbecher 0,90 ; Port. Butter Honig ec   
